,Evaluation Site,Pretraining Site,Stem Recall,mAP
0,['TEAK'],SJER,0.3563766388557807,0.12546670796901888
1,['SJER'],SJER,0.7747747747747747,0.27091619886086765
2,"['SJER', 'TEAK']",SJER,0.4052631578947368,0.15007821477354488
3,['TEAK'],TEAK,0.7163289630512515,0.10112839885569966
4,['SJER'],TEAK,0.8468468468468469,0.1474645132036545
5,"['SJER', 'TEAK']",TEAK,0.7315789473684211,0.11270130726319838
6,['TEAK'],All,0.7294398092967819,0.11787485494727881
7,['SJER'],All,0.8738738738738738,0.3404839364010438
8,"['SJER', 'TEAK']",All,0.7463157894736843,0.16753459235085733
